States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,2950,2866.67,2913.33,5933.33,6466.67,7416.67,7166.67,5146.67,3533.33,,13126,,9219.67,,9726.67,7459,4433.33,,1506.67,2300,1666.67,1166.67,13-01-2017,2
Tamil Nadu,3883.33,3056.67,3241.11,6533.33,8933.33,11133.33,8722.22,6100,3614.44,2800,14917.44,13076.5,8020,9700,10020.89,7358.44,4700,36000,1444.44,2322.22,5111.11,2400,14-01-2017,2
Tamil Nadu,2902,2812,2562.5,12200,9580,10030,6530,6500,3934,,14653.8,,8489.6,,9120,7009.8,4502,,1540,1800,1400,1080,15-01-2017,2
Tamil Nadu,3278,2752,2505,6560,6060,6680,6410,4950,3958,,13456.8,,8688.4,,8949.2,7147.8,4840,,1510,1320,3720,1760,16-01-2017,2
Tamil Nadu,3100,2990,3068,6520,6860,7760,7320,5340,3406,,13658.8,,8502.6,,9676.8,7016.4,4443.4,,1474,1800,1340,1200,17-01-2017,2
Tamil Nadu,4006.25,3145,3062.5,6368.75,8975,11581.25,9100,6014.29,3590,,15190.13,12967,8066.38,,10090.88,7949.38,4637.5,,1512.5,2537.5,12550,2137.5,18-01-2017,2
Tamil Nadu,2678.75,2687.5,2336.75,6350,13025,14550,9275,7250,3387.5,,12321.75,,7778.75,,8961.75,5620.5,3973.75,,1525,1650,1900,4350,19-01-2017,2
Tamil Nadu,3255,2790,2607.5,11344,7680,9390,6300,5900,4020,,14159,,8445.6,,9132,7196.8,4553,,1540,1520,1200,900,21-01-2017,2
Tamil Nadu,3360,2696,2505,6400,6270,6680,6570,5200,3704,,12929.4,,8762.6,,8971.2,7078,4840,,1500,1360,3960,660,22-01-2017,2
Tamil Nadu,3040,2920,2920,6380,6980,7680,7440,5320,3388,,14041.2,,8196.4,,9398.2,6895.4,4436.6,,1542,1940,1280,2640,23-01-2017,2
Tamil Nadu,2518.75,2762.5,2336.75,5950,12225,13050,8750,6600,3450,,12143,,7587.75,,8900.75,5814.25,3856.25,,1525,1550,1475,900,24-01-2017,3
Tamil Nadu,3328,2756,2572.5,9020,6960,9270,6380,5700,4242,,13998.2,,8600.4,,9077,7240.8,4592,,1550,1420,1160,1960,25-01-2017,3
Tamil Nadu,3238.6,2736,2505,5750,6390,6660,6760,5000,3486,,12774.6,,8698.4,,9054.2,7024.6,4820,,1500,1360,2300,660,26-01-2017,3
Tamil Nadu,3060,2920,2938,6320,7950,7730,7680,5840,3378,,13893.2,,8306,,9430,7112.2,4330,,1602,1840,1040,1120,27-01-2017,3
Tamil Nadu,2445,2700,2299.25,5800,11280,13140,8680,6200,3450,,12013,,7832.2,,9044.2,6270,3644,,1530,1540,1240,840,28-01-2017,3
Tamil Nadu,3275,2835,2550,7125,6525,8750,6150,5400,4295,,14062.75,,8674.25,,9120,6887.25,4375,,1562.5,1275,1150,2525,29-01-2017,3
Tamil Nadu,3066.6,2692,2525,5580,6540,6590,6800,4950,3624,,12884.6,,8808.4,,9120,7668.4,4640,,1500,1380,1480,720,30-01-2017,3
Tamil Nadu,3080,2960,2940,6260,8120,7620,7700,5688,3480,,14024,10000,7961,,9557.8,7083.8,4280,,1584,1540,1020,1060,31-01-2017,3
Tamil Nadu,2501.25,2750,2399,6000,11850,13450,8425,7000,4000,,12966,,7824.25,,9107.5,6878.5,3667.5,,1537.5,1675,1325,1000,01-02-2017,3
Tamil Nadu,3250,2810,2533.33,7700,6850,9275,6725,5600,4245,,14277.5,,8701.75,,9065,6556.5,4375,,1562.5,1450,975,1600,02-02-2017,3
Tamil Nadu,3040,2672,2525,5290,6400,6380,6720,4950,3444,,12891.2,,9095.2,,9278.2,8086,4440,,1500,1680,1060,920,03-02-2017,3
Tamil Nadu,3080,3000,2920,6170,8000,7480,7530,5508,3488,,13867.2,9750,8133.8,,9402,6752.4,4256.6,,1584,1760,1060,2520,04-02-2017,3
Tamil Nadu,2424,2670,2410,7120,13240,16280,8420,7350,3944,,13982.8,,8231.6,,9088,6942.6,4075,,1530,2060,1260,3260,05-02-2017,3
Tamil Nadu,3115,2785,2600,7625,6837.5,9300,6725,5400,4210,,14422.75,,8667,,9065,6428,4475,,1562.5,1550,1000,825,06-02-2017,3
Tamil Nadu,3100,2660,2525,5100,6260,6490,6700,4750,3048,,13089,,8933.2,,9216,8171.4,4460,,1500,1960,1000,880,07-02-2017,3
Tamil Nadu,3150,2930,2920,6320,8190,7720,7940,5568,3604,,14201,9750,7650,,9531,6711,4240,,1587.5,1880,1140,3500,08-02-2017,3
Tamil Nadu,2528,2654,2390,7700,12140,15520,8000,7200,3902,,14422.8,,8253.6,,9066.2,6814.8,4289,,1530,2040,1320,5440,09-02-2017,1
Tamil Nadu,3275,2775,2516.67,7375,5925,8750,6375,4900,4170,,14353.75,,8667,,8900.75,6565.5,4700,,1537.5,1450,1175,1650,10-02-2017,1
Tamil Nadu,3137.5,2700,2553.33,4875,6275,6550,6700,4750,3327.5,,13097.75,,8927.25,,9395,8292,4350,,1475,2125,1225,1225,11-02-2017,1
Tamil Nadu,3270,2942,2840,6410,8660,8540,8400,5628,3588,,14792.2,9500,7608.2,,9573,6705.4,4333.4,,1587.5,2040,1700,3710,12-02-2017,1
Tamil Nadu,2482,2714,2447.5,9120,12240,15380,7900,7350,3874,,14873,,8209.8,,9054.2,6655.2,4222,,1530,2020,1440,2080,13-02-2017,1
Tamil Nadu,3348,2760,2562.5,7260,5820,8230,6170,5000,4110,,14007.2,,8499.6,,8854.8,6387.6,4680,,1510,1440,1060,5600,14-02-2017,1
Tamil Nadu,3190,2692,2515,4960,6280,6700,6690,4800,3680,,13192.4,,9090.4,,9629.8,8171.8,4420,,1500,2200,1640,1820,15-02-2017,1
Tamil Nadu,3387.5,2987.5,3147.5,6375,8450,8450,8300,5800,3582.5,,14949.75,,7842,,9471.5,6830.5,4366.75,,1605,2025,1875,3425,16-02-2017,1
Tamil Nadu,2530,2720,2490,10020,11420,13320,7170,7400,3948,,15136.8,,8158.4,,9023.4,6523,4439,,1540,2080,1240,680,17-02-2017,1
Tamil Nadu,3333.2,2660,2525,7130,5800,7640,5920,4750,4072,,13962.4,,8425.6,,8791,6139.8,4900,,1510,1440,2500,3440,18-02-2017,1
Tamil Nadu,3170,2860,2937.5,5780,6400,6480,6730,4970,3736,,13531.75,,8478,,9930.75,7783.75,4540,,1510,2280,1560,840,19-02-2017,1
Tamil Nadu,3400,3012.5,3110,6325,8425,8425,8300,5800,3515,,14969.75,,7594.75,,9611.33,6762.75,4316.75,,1655,2075,1825,1875,20-02-2017,1
Tamil Nadu,2500,2720,2527.5,9780,10160,12020,6630,6750,3864,,15247,,8445.6,,9089,7285,4782,,1540,2280,1240,940,21-02-2017,1
Tamil Nadu,3310,2640,2550,7460,6260,8140,6460,4950,4092,,13918.6,,8469.6,,8636.8,6475.4,5180,,1510,1440,2160,2020,22-02-2017,1
Tamil Nadu,2916.67,2833.33,2620,5666.67,6283.33,6283.33,6733.33,5230,3566.67,,12722.33,,8526,,9563,7464,4633.33,,1473.33,2166.67,1333.33,800,23-02-2017,1
Tamil Nadu,3400,2975,3110,6400,8550,8612.5,8387.5,5875,3660,,15436.75,,7556.25,,10044.5,7060,4525,,1625,1775,2725,975,24-02-2017,1
Tamil Nadu,2695,2664,2527.5,11020,11020,11320,6900,6800,3874,,15123,,8497.2,,9023,6869.4,4638,,1540,2000,1200,1460,25-02-2017,1
Tamil Nadu,3330,2652,2595,7560,6260,7880,6480,4950,4088,,13852.6,,8559.6,,8636.8,6694.2,5280,,1487.5,1440,2260,1600,26-02-2017,1
Tamil Nadu,3037.5,2875,2855,5837.5,6275,6475,6945,5287.5,3572.5,,13565,,9116.33,,9683.25,7499.25,4525,,1512.5,2425,1325,925,27-02-2017,1
Tamil Nadu,3821.43,3037.14,3262.86,6564.29,8628.57,8828.57,8442.86,5928.57,3657.14,,15071.17,12967,7821.14,,9972.14,7217,4600,,1485.71,1942.86,3400,2000,28-02-2017,1
Tamil Nadu,2795,2744,2550,12540,10320,10540,6580,6600,3906,,14929.4,,8467.6,,9110,6777.4,4550,,1540,1900,1100,720,01-03-2017,2
Tamil Nadu,3282,2692,2670,7060,6170,7080,6390,5050,4040,,13720.6,,8534.8,,8674.8,6787.2,5220,,1510,1500,3420,3820,02-03-2017,2
Tamil Nadu,2950,2866.67,2913.33,5933.33,6200,7516.67,7166.67,5146.67,3513.33,,13126,,9219.67,,9726.67,7425.67,4433.33,,1506.67,2333.33,1666.67,1166.67,03-03-2017,2
Tamil Nadu,3968.75,3082.5,3311.25,6487.5,8950,11587.5,8837.5,6175,3623.75,,15282.13,12967,7981.25,,10086,7414.88,4662.5,,1425,2300,5137.5,2100,04-03-2017,2
Tamil Nadu,2902,2812,2562.5,12200,9560,10010,6530,6500,3934,,14653.8,,8489.6,,9120,7009.8,4502,,1540,1820,1280,880,05-03-2017,2
Tamil Nadu,3287.5,2725,2553.33,6525,6100,6650,6375,4950,3957.5,,13112.25,,8717.75,,8906.25,7066.5,4850,,1487.5,1350,3650,1700,06-03-2017,2
Tamil Nadu,3100,2990,3068,6520,6860,7760,7320,5340,3406,,13658.8,,8502.6,,9676.8,7016.4,4443.4,,1474,1800,1340,1220,07-03-2017,2
Tamil Nadu,3931.25,3120,3005,6350,8950,11381.25,9037.5,5950,3577.5,2800,14827.63,12428.5,8189.25,,10086.71,7992.57,4675,36000,1506.25,2475,11312.5,1887.5,08-03-2017,2
Tamil Nadu,2703,2710,2336.75,6380,13180,14560,9360,7250,3376,,12244.2,,7973.2,,8971.4,5651.8,3929,,1510,1720,1940,4300,09-03-2017,2
Tamil Nadu,3255,2790,2607.5,11344,7680,9390,6300,5900,4038,,14159,,8445.6,,9110,7196.8,4553,,1540,1500,1160,940,10-03-2017,2
Tamil Nadu,3342,2696,2505,6360,6300,6680,6570,5200,3712,,12929.4,,8762.6,,8971.2,7027.8,4820,,1500,1360,3940,660,11-03-2017,2
Tamil Nadu,3040,2920,2920,6500,7080,7700,7440,5320,3388,,14021.2,,8196.4,,9398.2,6895.4,4456.6,,1550,1800,1260,2780,12-03-2017,2
Tamil Nadu,2481.25,2712.5,2256.67,5875,12150,13275,8525,6500,3437.5,,11884.5,,7990,,8914.25,6037,3931.25,,1525,1575,1475,850,13-03-2017,3
Tamil Nadu,3328,2776,2572.5,9225,7000,9270,6440,5800,4242,,13998.2,,8600.4,,9077,7240.8,4572,,1550,1340,1120,1940,14-03-2017,3
Tamil Nadu,3238.6,2736,2505,5750,6390,6660,6760,5000,3486,,12774.6,,8698.4,,9054.2,7024.6,4820,,1500,1360,2300,660,15-03-2017,3
Tamil Nadu,3075,2950,2877.5,6150,7937.5,7662.5,7600,5800,3382.5,,13466.5,,8407.5,,9362.5,7065.25,4437.5,,1602.5,1800,1050,1100,16-03-2017,3
Tamil Nadu,2445,2700,2299.25,5800,11280,13140,8580,6200,3450,,12013,,7832.2,,9044.2,6270,3644,,1530,1540,1220,720,17-03-2017,3
Tamil Nadu,3275,2835,2550,7050,6525,8750,6150,5400,4295,,14062.75,,8674.25,,9120,6887.25,4375,,1562.5,1275,1150,2375,18-03-2017,3
Tamil Nadu,3066.6,2692,2525,5580,6540,6590,6800,4950,3624,,12884.6,,8808.4,,9120,7668.4,4640,,1500,1380,1480,720,19-03-2017,3
Tamil Nadu,3080,2960,2940,6260,8120,7620,7700,5688,3480,,14024,10000,7961,,9557.8,7083.8,4280,,1584,1540,1020,1060,20-03-2017,3
Tamil Nadu,2501.25,2750,2399,6000,11850,13450,8425,7000,4000,,12966,,7824.25,,9107.5,6878.5,3667.5,,1537.5,1675,1325,1025,21-03-2017,3
Tamil Nadu,3225,2810,2533.33,7650,6800,9225,6600,5600,4237.5,,14277.5,,8701.75,,9065,6528.75,4375,,1562.5,1425,1000,1275,22-03-2017,3
Tamil Nadu,3040,2672,2525,5290,6400,6380,6720,4950,3434,,12891.2,,9095.2,,9278.2,8108,4400,,1500,1680,1060,880,23-03-2017,3
Tamil Nadu,3050,2990,2940,6220,8060,7490,7550,5548,3506,,13911.2,9750,8067.8,,9416,6748.6,4166.6,,1584,1820,1080,2380,24-03-2017,3
Tamil Nadu,2404,2670,2410,7120,13140,16280,8380,7350,3944,,13660,,8231.6,,9088,6910.8,4075,,1530,1960,1200,3260,25-03-2017,3
Tamil Nadu,3115,2762.5,2600,7600,6712.5,9012.5,6700,5400,4200,,14395.25,,8667,,8982.75,6441.75,4575,,1537.5,1525,1000,750,26-03-2017,3
Tamil Nadu,3100,2660,2525,5100,6260,6490,6700,4750,3048,,13089,,8933.2,,9216,8171.4,4460,,1500,1960,1000,880,27-03-2017,3
Tamil Nadu,3150,2930,2920,6320,8210,7720,7940,5568,3604,,14201,9750,7650,,9531,6711,4240,,1587.5,1900,1180,3540,28-03-2017,3
Tamil Nadu,2528,2654,2390,7690,12120,15480,7960,7200,3902,,14422.8,,8253.6,,9066.2,6814.8,4289,,1530,2040,1320,5360,29-03-2017,1
Tamil Nadu,3275,2775,2516.67,7375,5925,8750,6375,4900,4170,,14353.75,,8667,,8900.75,6565.5,4700,,1537.5,1450,1175,1650,30-03-2017,1
Tamil Nadu,3075,2687.5,2513.33,4925,6200,6512.5,6650,4500,3375,,13708.5,,9299,,9422.5,8255,4150,,1500,2075,1325,1225,31-03-2017,1
Tamil Nadu,3270,2942,2962,6410,8640,8540,8500,5628,3596,,14792.2,9500,7581.6,,9573,6705.4,4333.4,,1587.5,2020,1700,3310,01-04-2017,1
Tamil Nadu,2482,2714,2447.5,9120,12240,15380,7900,7350,3874,,14873,,8209.8,,9054.2,6655.2,4222,,1530,2020,1440,2080,02-04-2017,1
Tamil Nadu,3348,2760,2562.5,7260,5820,8230,6170,5000,4098,,13985.4,,8499.6,,8821.8,6365.6,4680,,1510,1420,1040,5800,03-04-2017,1
Tamil Nadu,3190,2692,2515,4960,6280,6700,6690,4800,3680,,13192.4,,9090.4,,9629.8,8171.8,4420,,1500,2120,1760,1660,04-04-2017,1
Tamil Nadu,3387.5,3012.5,3147.5,6375,8450,8450,8300,5800,3577.5,,14949.75,,7842,,9471.5,6775.5,4366.75,,1605,2000,1825,3500,05-04-2017,1
Tamil Nadu,2530,2720,2502.5,9920,11320,13320,7130,7400,3926,,15147.8,,8158.4,,9023.4,6601,4519,,1540,2100,1240,700,06-04-2017,1
Tamil Nadu,3333.2,2660,2525,7130,5800,7640,5920,4750,4072,,13962.4,,8425.6,,8791,6139.8,4900,,1510,1440,2600,3500,07-04-2017,1
Tamil Nadu,3170,2860,2937.5,5800,6400,6480,6770,4970,3700,,13531.75,,8478,,9764.6,7629.2,4560,,1510,2320,1560,940,08-04-2017,1
Tamil Nadu,3400,3012.5,3110,6325,8425,8425,8300,5800,3515,,14969.75,,7594.75,,9611.33,6762.75,4316.75,,1655,2075,1825,1875,09-04-2017,1
Tamil Nadu,2500,2720,2527.5,9780,10160,12020,6630,6750,3864,,15247,,8445.6,,9089,7285,4782,,1540,2280,1240,1040,10-04-2017,1
Tamil Nadu,3310,2640,2550,7460,6260,8140,6460,4950,4092,,13918.6,,8469.6,,8636.8,6475.4,5180,,1510,1440,2160,1980,11-04-2017,1
Tamil Nadu,3087.5,2862.5,2852.5,5750,6287.5,6462.5,6825,5230,3560,,13415.25,,8830.25,,9763.25,7521,4575,,1512.5,2250,1375,750,12-04-2017,1
Tamil Nadu,3400,2975,3110,6450,8550,8687.5,8337.5,5875,3685,,15299.25,,7666,,10181.75,7169.67,4600,,1625,1775,2725,975,13-04-2017,1
Tamil Nadu,2695,2664,2527.5,11020,10980,11260,6900,6800,3864,,15123,,8497.2,,9023,6869.4,4638,,1540,2000,1200,1460,14-04-2017,1
Tamil Nadu,3330,2652,2595,7560,6260,7880,6480,4950,4088,,13852.6,,8559.6,,8636.8,6705.2,5280,,1487.5,1440,2260,1700,15-04-2017,1
Tamil Nadu,3087.5,2875,2855,5762.5,6250,6500,6945,5275,3562.5,,13565,,8920.5,,9633.25,7499.25,4475,,1537.5,2387.5,1350,900,16-04-2017,1
Tamil Nadu,3821.43,3037.14,3262.86,6564.29,8628.57,8885.71,8442.86,5928.57,3650,,15071.17,12967,7821.14,,9972.14,7217,4614.29,,1485.71,1971.43,3385.71,1985.71,17-04-2017,1
Tamil Nadu,2795,2744,2550,12540,10320,10540,6580,6600,3906,,14929.4,,8467.6,,9110,6777.4,4550,,1540,1880,1100,700,18-04-2017,2
Tamil Nadu,3282,2692,2670,7060,6170,7080,6390,5050,4040,,13720.6,,8534.8,,8674.8,6787.2,5220,,1510,1400,3320,3760,19-04-2017,2
Tamil Nadu,3075,2900,2860,5875,6275,7212.5,7025,5185,3545,,13086.25,,8998,,9711.5,7544.25,4525,,1530,2475,1650,1175,20-04-2017,2
Tamil Nadu,3968.75,3082.5,3311.25,6487.5,8950,11587.5,8837.5,6175,3623.75,,15282.13,12967,7981.25,,10086,7414.88,4662.5,,1425,2362.5,5175,2037.5,21-04-2017,2
Tamil Nadu,2902,2812,2562.5,12200,9560,10010,6530,6500,3934,,14653.8,,8489.6,,9120,7009.8,4512,,1540,1820,1220,800,22-04-2017,2
Tamil Nadu,3278,2752,2505,6560,6060,6680,6410,4950,3957.5,,13456.8,,8717.75,,8906.25,7066.5,4850,,1487.5,1350,3650,1700,23-04-2017,2
Tamil Nadu,3100,2990,3068,6520,6860,7960,7320,5340,3402,,13658.8,,8502.6,,9676.8,7016.4,4423.4,,1474,1840,1200,1180,24-04-2017,2
Tamil Nadu,3938.89,3117.78,3037.78,6355.56,8977.78,11516.67,9033.33,5950,3580,2800,14835.67,12428.5,8188.89,,10090.88,8025.25,4666.67,36000,1522.22,2533.33,10166.67,1777.78,26-04-2017,2
Tamil Nadu,2683,2710,2336.75,6380,13100,14520,9320,7250,3380,,12244.2,,7973.2,,8971.4,5651.8,3929,,1510,1600,1840,3340,27-04-2017,2
Tamil Nadu,3285,2816,2582.5,10880,7540,9470,6300,5900,4078,,13998.2,,8533.8,,9132,7196.8,4573,,1540,1480,1200,900,28-04-2017,2
Tamil Nadu,3342,2696,2505,6380,6300,6700,6570,5200,3712,,12929.4,,8762.6,,8971.2,7027.8,4820,,1500,1420,3940,680,29-04-2017,2
Tamil Nadu,3040,2920,2920,6500,7080,7700,7440,5320,3388,,14001.2,,8196.4,,9388.2,6895.4,4456.6,,1550,1940,1260,2960,30-04-2017,2
Tamil Nadu,2525,2750,2336.75,5900,12360,13380,8620,6500,3440,,12057,,7820.4,,8922.6,5994.4,3805,,1530,1560,1420,820,01-05-2017,3
Tamil Nadu,3328,2776,2572.5,9225,7000,9270,6440,5800,4242,,13998.2,,8600.4,,9077,7240.8,4572,,1550,1340,1120,1940,02-05-2017,3
Tamil Nadu,3248.25,2770,2606.67,5937.5,6412.5,6725,6775,5400,3520,,13001.25,,8455.5,,9010.25,7022.75,4775,,1550,1450,2500,650,03-05-2017,3
Tamil Nadu,3060,2920,2940,6260,7950,7730,7680,5840,3378,,13893.2,,8246,,9450,7112.2,4310,,1602,1820,1040,1020,04-05-2017,3
Tamil Nadu,2445,2700,2299.25,5810,11240,13140,8600,6200,3450,,12013,,7832.2,,9044.2,6271.75,3624,,1530,1560,1160,640,05-05-2017,3
Tamil Nadu,3275,2835,2550,7050,6525,8750,6150,5400,4295,,14062.75,,8674.25,,9120,6887.25,4375,,1562.5,1275,1150,2375,06-05-2017,3
Tamil Nadu,2933.33,2686.67,2700,5633.33,6433.33,6650,6800,,3640,,13296.33,,8790.67,,9303.33,8131.33,4233.33,,1566.67,1433.33,1533.33,766.67,07-05-2017,3
Tamil Nadu,3080,2960,2940,6260,8120,7620,7660,5688,3480,,14024,10000,7961,,9577.8,7083.8,4280,,1584,1580,1020,1000,08-05-2017,3
Tamil Nadu,2391,2630,2336.75,6060,11900,13620,8360,7100,3990,,13186,,7995.6,,9000.2,6843.2,3734,,1530,1620,1180,1180,09-05-2017,3
Tamil Nadu,3225,2810,2533.33,7650,6800,9225,6600,5600,4237.5,,14277.5,,8701.75,,9065,6528.75,4375,,1562.5,1425,975,1250,10-05-2017,3
Tamil Nadu,3040,2672,2525,5230,6380,6440,6720,5000,3422,,12891.2,,9035.2,,9300.2,8118.8,4400,,1500,1740,1160,840,11-05-2017,3
Tamil Nadu,3050,2990,2940,6220,8060,7490,7550,5548,3506,,13911.2,9750,8067.8,,9416,6744,4173.4,,1584,1800,1080,2300,12-05-2017,3
Tamil Nadu,2404,2670,2372.5,7160,13100,16160,8440,7350,3944,,14015.8,,8231.6,,9088,6910.8,4075,,1530,1960,1200,3020,13-05-2017,3
Tamil Nadu,3115,2762.5,2600,7600,6712.5,9012.5,6700,5400,4200,,14395.25,,8667,,8982.75,6441.75,4575,,1537.5,1525,1000,675,14-05-2017,3
Tamil Nadu,3100,2660,2525,5100,6260,6490,6700,4750,3048,,13089,,8933.2,,9216,8171.4,4460,,1500,2000,1100,900,15-05-2017,3
Tamil Nadu,3150,2930,2920,6320,8210,7720,7940,5568,3604,,14201,9750,7650,,9531,6711,4240,,1587.5,1880,1180,3580,16-05-2017,3
Tamil Nadu,2528,2654,2390,7690,12120,15480,7960,7200,3902,,14422.8,,8253.6,,9066.2,6814.8,4289,,1530,2040,1340,5320,17-05-2017,1
Tamil Nadu,3275,2775,2516.67,7375,5925,8700,6375,4900,4170,,14353.75,,8667,,8900.75,6565.5,4700,,1537.5,1450,1175,1650,18-05-2017,1
Tamil Nadu,3230,2700,2510,4980,6300,6590,6740,4750,3658,,13500,,8933,,9464.6,8259.6,4280,,1500,2060,1240,1200,19-05-2017,1
Tamil Nadu,3270,2942,2962,6410,8640,8580,8500,5628,3596,,14772.2,9500,7581.6,,9562,6707.6,4333.4,,1587.5,2020,1720,3330,20-05-2017,1
Tamil Nadu,2512,2714,2447.5,9340,12100,15320,7800,7450,3884,,14873,,8209.8,,9054.2,6643.25,4208,,1530,2160,1480,2060,21-05-2017,1
Tamil Nadu,3348,2760,2562.5,7260,5820,8230,6170,5000,4084,,14013.4,,8509.6,,8821.8,6365.6,4740,,1510,1420,1060,5940,22-05-2017,1
Tamil Nadu,3190,2692,2565,4980,6280,6660,6690,4800,3684,,12809.25,,9090.4,,9640.8,8128,4420,,1500,2300,1720,1740,23-05-2017,1
Tamil Nadu,3387.5,3012.5,3147.5,6375,8450,8412.5,8300,5800,3577.5,,15107.25,,7814.5,,9471.5,6734.25,4366.75,,1605,2050,1825,3375,24-05-2017,1
Tamil Nadu,2530,2720,2502.5,9920,11320,13320,7130,7400,3926,,15147.8,,8158.4,,9023.4,6601,4519,,1540,2100,1240,700,25-05-2017,1
Tamil Nadu,3333.2,2660,2525,7130,5820,7640,5920,4750,4072,,13962.4,,8425.6,,8791,6139.8,4900,,1510,1500,2600,4080,26-05-2017,1
Tamil Nadu,3170,2860,2937.5,5800,6400,6480,6770,4970,3700,,13145.4,,8478,,9764.6,7629.2,4560,,1510,2300,1500,980,27-05-2017,1
Tamil Nadu,3350,2900,2700,6100,8300,8200,8150,5400,3485,,13626,,7851,,9395,6636.5,4600,,1700,1900,1550,2200,28-05-2017,1
Tamil Nadu,2500,2720,2527.5,9780,10160,12020,6630,6750,3864,,15247,,8445.6,,9089,7285,4782,,1540,2280,1240,1060,29-05-2017,1
Tamil Nadu,3310,2640,2550,7460,6260,8140,6500,4950,4108,,13918.6,,8469.6,,8636.8,6475.4,5180,,1510,1440,2120,1900,30-05-2017,1
Tamil Nadu,3087.5,2887.5,2852.5,5750,6262.5,6387.5,6825,5230,3477.5,,13415.25,,8830.25,,9763.25,7521,4575,,1512.5,2250,1175,800,31-05-2017,1
Tamil Nadu,3500,2900,3083.33,6266.67,8533.33,8583.33,8250,5666.67,3696.67,,14798,,7671,,10136,7169.67,4833.33,,1633.33,1700,2633.33,1066.67,01-06-2017,1
Tamil Nadu,2695,2664,2527.5,11100,10980,11220,6900,6800,3864,,15123,,8497.2,,9023,6869.4,4638,,1540,2000,1200,1420,02-06-2017,1
Tamil Nadu,3330,2652,2595,7560,6240,7880,6480,4950,4072,,13852.6,,8559.6,,8636.8,6716.2,5340,,1500,1440,2460,1880,03-06-2017,1
Tamil Nadu,3087.5,2875,2855,5762.5,6250,6500,6995,5275,3562.5,,13565,,8920.5,,9633.25,7499.25,4475,,1537.5,2362.5,1325,975,04-06-2017,1
Tamil Nadu,3821.43,3037.14,3262.86,6564.29,8628.57,8885.71,8442.86,5928.57,3650,,14489.57,12967,7821.14,,9972.14,7217,4614.29,,1485.71,1985.71,3542.86,1928.57,05-06-2017,1
Tamil Nadu,2815,2744,2550,12540,10320,10540,6580,6600,3906,,14929.4,,8467.6,,9110,6777.4,4530,,1540,1860,1100,700,06-06-2017,2
Tamil Nadu,3282,2692,2670,7060,6170,7080,6390,5050,4040,,13720.6,,8534.8,,8674.8,6787.2,5220,,1510,1400,3300,3720,07-06-2017,2
Tamil Nadu,3075,2900,2860,5875,6275,7212.5,7025,5185,3545,,13086.25,,8998,,9711.5,7544.25,4525,,1530,2475,1650,1175,08-06-2017,2
Tamil Nadu,3883.33,3056.67,3241.11,6488.89,8988.89,11587.5,8911.11,6100,3614.44,2800,14917.44,13076.5,8111.44,10736,10079.56,7395.44,4688.89,36000,1444.44,2433.33,5333.33,1811.11,09-06-2017,2
Tamil Nadu,2902,2812,2562.5,12200,9560,10010,6510,6500,3934,,14653.8,,8489.6,,9120,7009.8,4512,,1540,1820,1220,800,10-06-2017,2
Tamil Nadu,3278,2752,2505,6520,6060,6680,6410,4950,3926,,13369,,8708.4,,8938.2,7065.8,4840,,1510,1280,3980,1700,11-06-2017,2
Tamil Nadu,3100,2990,3068,6520,6860,7980,7320,5340,3402,,13658.8,,8502.6,,9676.8,7016.4,4430,,1474,1900,1200,1200,12-06-2017,2
Tamil Nadu,3961.11,3117.78,3037.78,6388.89,8977.78,11516.67,9044.44,5962.5,3568.89,2800,14713.44,12483.5,8234.11,,10080.5,8220.63,4666.67,36000,1522.22,2477.78,8622.22,1655.56,13-06-2017,2
Tamil Nadu,2683,2710,2336.75,6380,13060,14440,9300,7250,3380,,12200.2,,7973.2,,8955.4,5651.8,3929,,1510,1640,1820,3140,14-06-2017,2
Tamil Nadu,3285,2816,2582.5,10800,7540,9470,6300,5900,4078,,13998.2,,8533.8,,9132,7196.8,4593,,1540,1480,1200,940,15-06-2017,2
Tamil Nadu,3342,2696,2505,6340,6300,6670,6580,5200,3692,,12929.4,,8762.6,,8971.2,7027.8,4860,,1500,1440,3760,720,16-06-2017,2
Tamil Nadu,3040,2920,2920,6500,7080,7700,7440,5320,3388,,14001.2,,8196.4,,9388.2,6895.4,4456.6,,1550,1940,1260,2940,17-06-2017,2
Tamil Nadu,2525,2750,2336.75,5880,12320,13300,8610,6500,3430,,12057,,7820.4,,8922.6,5994.4,3805,,1530,1560,1460,780,18-06-2017,3
Tamil Nadu,3328,2776,2572.5,9225,7000,9270,6440,5800,4242,,13998.2,,8600.4,,9077,7240.8,4572,,1550,1340,1120,1940,19-06-2017,3
Tamil Nadu,3208.6,2736,2505,5750,6390,6660,6760,5000,3506,,12774.6,,8698.4,,9043.2,7035.6,4800,,1500,1360,2260,640,20-06-2017,3
Tamil Nadu,3060,2920,2940,6260,7950,7730,7680,5840,3370,,13894,,8259.2,,9470,7112.2,4303.4,,1602,1800,1040,1000,21-06-2017,3
