States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,3400,2940,3048,6280,8560,8390,8400,5780,3630,,15096.6,,7982.6,,9769.4,7008,4560,,1640,1720,2600,960,05-02-2016,1
Tamil Nadu,2655,2744,2527.5,10560,11060,11510,6960,6850,3890,,15078.6,,8511.6,,8999.2,7097,4692,,1540,1940,1280,1180,06-02-2016,1
Tamil Nadu,3312.5,2615,2420,7500,6350,8025,6470,4950,4118,,13607,,8749,,8598.25,6606.4,5120,,1487.5,1320,2000,1060,07-02-2016,1
Tamil Nadu,3037.5,2850,2815,5892.5,6287.5,6587.5,6962.5,5287.5,3550,,13565,,8729.5,,9790.75,7546.75,4466.75,,1512.5,2300,1275,775,08-02-2016,1
Tamil Nadu,3864.29,3037.14,3262.86,6564.29,8628.57,8785.71,8421.43,5928.57,3685.71,,15087.29,12967,7821.14,,10103.43,7217,4585.71,,1485.71,1914.29,3814.29,2028.57,09-02-2016,1
Tamil Nadu,2783,2704,2550,12580,10380,10740,6720,6600,3898,,15137.4,,8445.6,,9098,6799.8,4670,,1540,1840,1140,900,10-02-2016,2
Tamil Nadu,3330,2692,2670,7200,6180,7260,6450,5150,4040,,13852.6,,8534.8,,8674.8,6765.2,5400,,1510,1520,3100,3620,11-02-2016,2
Tamil Nadu,3075,2900,2860,5800,6350,7300,7075,5222.5,3565,,13769,,8978,,9695.33,7594.25,4525,,1537.5,2587.5,1800,1050,12-02-2016,2
Tamil Nadu,3883.33,3022.22,3280,6544.44,8666.67,9855.56,8466.67,5900,3621.11,2800,14856.33,13076.5,8020,9700,10027.11,7203.89,4644.44,36000,1444.44,2322.22,3888.89,2566.67,13-02-2016,2
Tamil Nadu,2902,2764,2562.5,12180,9860,10130,6430,6500,3926,,14698,,8489.6,,9120,6943.6,4542,,1540,1720,1240,720,14-02-2016,2
Tamil Nadu,3278,2712,2605,6620,6100,6620,6410,4950,4018,,13522.8,,8644.6,,9004,7147.8,4880,,1510,1540,4380,2180,15-02-2016,2
Tamil Nadu,3150,2937.5,2860,6475,6725,7950,7350,5300,3387.5,,13657,,8678.25,,9739.25,7090.5,4454.25,,1530,2075,1350,925,16-02-2016,2
